Frame, Changed Pixels
1, 1224
2, 844
3, 1739
4, 1683
5, 859
6, 980
7, 1437
8, 789
9, 1016
10, 1226
11, 995
12, 1039
13, 1268
14, 1008
15, 1023
16, 1158
17, 4909
18, 9154
19, 5589
20, 2284
21, 942
22, 1981
23, 1850
24, 868
25, 996
26, 797
27, 798
28, 907
29, 1170
30, 1050
31, 859
32, 795
33, 876
34, 916
35, 871
36, 704
37, 759
38, 546
39, 790
40, 667
41, 565
42, 627
43, 666
44, 625
45, 536
46, 779
47, 846
48, 881
49, 1005
50, 937
51, 896
52, 832
53, 737
54, 658
55, 778
56, 820
57, 1043
58, 1053
59, 1167
60, 1211
61, 1347
62, 1229
63, 908
64, 950
65, 1125
66, 1355
67, 1370
68, 1140
69, 1026
70, 926
71, 880
72, 919
73, 867
74, 711
75, 767
76, 918
77, 1422
78, 2097
79, 2506
80, 1836
81, 1201
82, 1237
83, 1138
84, 1128
85, 988
86, 954
87, 1035
88, 912
89, 1100
90, 1160
91, 1256
92, 1174
93, 1198
94, 1175
95, 1067
96, 903
97, 921
98, 921
99, 1176
100, 1217
101, 941
102, 961
103, 903
104, 1152
105, 1379
106, 1600
107, 1639
108, 1783
109, 1830
110, 1844
111, 1615
112, 1525
113, 1421
114, 1380
115, 1285
116, 1116
117, 1189
118, 1310
119, 1439
120, 1171
121, 1337
122, 1414
123, 1455
124, 1358
125, 1167
126, 1077
127, 1317
128, 1377
129, 1197
130, 1097
131, 1250
132, 1358
133, 1122
134, 1178
135, 1169
136, 1295
137, 1256
138, 1237
139, 1216
140, 1181
141, 990
142, 1109
143, 1133
144, 1301
145, 1523
146, 1625
147, 1505
148, 1840
149, 2035
150, 1864
151, 1579
152, 2007
153, 2197
154, 2248
155, 2089
156, 1883
157, 1757
158, 1840
159, 1770
160, 1691
161, 1708
162, 1547
163, 1461
164, 1544
165, 1652
166, 1550
167, 1339
168, 1400
169, 1337
170, 1179
171, 1098
172, 1215
173, 1127
174, 1067
175, 1073
176, 1101
177, 1130
178, 1210
179, 1219
180, 1202
181, 1089
182, 1203
183, 1385
184, 1341
185, 1388
186, 1204
187, 1029
188, 1076
189, 1024
190, 1282
191, 1511
192, 1567
193, 1383
194, 1418
195, 1367
196, 1395
197, 1409
198, 1418
199, 1265
200, 1143
201, 1441
202, 1442
203, 1320
204, 1472
205, 1565
206, 1465
207, 1314
208, 1040
209, 817
210, 742
211, 960
212, 887
213, 969
214, 1020
215, 1036
216, 1348
217, 1118
218, 924
219, 1089
220, 965
221, 1008
222, 1086
223, 1067
224, 1139
225, 1095
226, 1046
227, 1326
228, 1132
229, 869
