CustomColumn, Frame, TreatmentSensor, PER-X, PER-Y, LeftSector, RightSector, LeftFlagellumTip-X, LeftFlagellumTip-Y, RightFlagellumTip-X, RightFlagellumTip-Y, LeftFlagellumBase-X, LeftFlagellumBase-Y, RightFlagellumBase-X, RightFlagellumBase-Y, RotationAngle, AntennaSensorWidth, AntennaSensorHeight, AntennaSensorOffset-X, AntennaSensorOffset-Y, AntennaSensorScale-X, AntennaSensorScale-Y
Control-01,1,65,308,174,3,4,241,267,414,259,270,254,365,246,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,2,65,308,174,4,4,244,275,414,262,272,259,365,246,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,3,62,308,174,4,4,244,282,414,264,275,262,365,249,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,4,63,308,174,4,4,246,288,414,267,277,264,365,249,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,5,62,308,174,4,4,246,295,414,267,277,267,365,249,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,6,64,308,174,4,4,251,301,411,270,277,267,365,251,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,7,64,308,174,4,4,257,303,411,270,280,270,365,251,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,8,62,308,174,4,4,259,306,411,270,282,272,362,251,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,9,64,308,174,4,4,262,306,411,272,282,272,362,251,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,10,64,308,174,4,4,264,308,409,272,285,275,362,251,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,11,66,308,174,4,4,262,308,409,277,285,275,362,254,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,12,64,308,174,4,4,257,306,406,277,282,272,360,257,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,13,61,308,174,4,4,241,293,404,282,277,264,360,257,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,14,63,308,174,3,4,223,272,404,282,272,257,360,257,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,15,64,308,174,3,4,218,259,404,280,267,244,360,257,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,16,65,308,174,3,4,215,262,406,277,267,246,360,254,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,17,62,308,174,3,3,218,267,406,257,267,249,365,244,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,18,64,308,174,3,2,223,282,378,202,270,254,357,218,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,19,64,308,174,4,2,223,282,368,197,272,257,352,210,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,20,63,308,174,4,2,223,282,355,190,270,254,344,205,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,21,63,308,174,3,2,215,270,355,190,267,249,344,205,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,22,62,308,174,3,2,210,254,355,190,267,239,344,205,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,23,61,308,174,2,4,210,205,393,259,272,226,362,249,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,24,62,308,174,2,4,213,192,399,264,272,223,362,251,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,25,62,308,174,2,4,215,184,401,270,275,218,362,251,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,26,63,308,174,2,4,208,205,404,270,272,223,362,251,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,27,63,308,174,3,4,208,215,411,262,270,228,362,249,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,28,63,308,174,3,3,208,228,414,241,267,233,368,236,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,29,63,308,174,3,3,208,228,411,205,267,233,365,228,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,30,66,308,174,2,3,239,213,406,184,272,226,362,223,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,31,64,308,174,2,2,218,179,399,177,275,218,360,221,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,32,62,308,174,2,2,231,166,386,164,277,215,352,210,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,33,64,308,174,2,2,241,156,375,161,280,213,352,210,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,34,64,308,174,2,2,249,151,360,156,282,210,352,210,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,35,61,308,174,2,2,249,153,352,156,282,210,352,210,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,36,62,308,174,2,2,249,153,352,156,282,210,352,210,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,37,64,308,174,2,2,267,187,344,153,282,210,352,210,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,38,64,308,174,2,2,267,182,347,153,282,210,352,210,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,39,62,308,174,1,2,275,187,355,151,282,208,352,210,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,40,63,308,174,2,2,277,195,375,151,282,208,352,210,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,41,64,308,174,2,2,267,195,383,151,280,213,352,210,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,42,64,308,174,2,2,231,184,399,166,275,218,352,210,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,43,64,308,174,2,2,223,197,406,174,272,223,352,210,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,44,64,308,174,2,2,244,197,404,174,275,218,352,210,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,45,63,308,174,2,2,270,200,399,164,280,213,352,210,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,46,62,308,174,2,2,270,187,391,156,282,210,352,210,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,47,65,308,174,1,2,275,177,388,156,285,205,352,210,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,48,65,308,174,1,2,264,151,388,156,272,159,352,210,-7,258,258,187,107,2.57712741596489,2.57712741596489
Control-01,49,65,308,174,2,2,264,174,393,159,282,208,352,210,-7,258,258,187,107,2.57712741596489,2.57712741596489
