,allX,allY,mandiblesX,mandiblesY,lftX,lftY,rftX,rftY,lfbX,lfbY,rfbX,rfbY,headX,headY,lsX,lsY,rsX,rsY,lmtX,lmtY,rmtX,rmtY,lmbX,lmbY,rmbX,rmbY,probX,probY
1,7.709053382,-1.766542116,1.45,-4.2,0.260967846,-4.646282884,7.709053382,-1.766542116,-0.887003396,-0.933733429,3.11917595,0.348140261,-1.273188729,-2.147029371,-0.284191834,-0.134957911,0.798675475,-0.089659301,0.302912111,-3.581813935,0.554411896,-3.564784642,-0.670604288,-2.63712025,0.975493817,-2.80158884,-0.5,-3.93
2,7.118137188,-3.335469046,-1.45,-4.2,-1.391300349,-6.431857875,7.118137188,-3.335469046,-0.960356441,-1.342944802,2.832739502,-0.539355422,-2.416325843,-1.313088985,-0.334491791,-0.13836377,0.435091705,-0.145175487,0.162229816,-3.742931382,0.618199211,-3.872713751,-0.662812824,-2.725944218,0.915982662,-2.801576192,-0.6182,-8
3,5.793994988,-4.826985685,-1.451968613,-2.195097442,-4.143148587,-6.014103475,5.793994988,-4.826985685,-1.273188729,-2.147029371,2.416325843,-1.313088985,-2.832739502,-0.539355422,-0.435091705,-0.145175487,0.334491791,-0.13836377,0.018141662,-3.853748872,0.499164251,-3.93219961,-0.663792571,-2.737720164,0.780587537,-2.796510696,0.6182,-8
4,4.143148587,-6.014103475,-1.447296965,-2.133874261,-5.793994988,-4.826985685,4.143148587,-6.014103475,-2.416325843,-1.313088985,1.273188729,-2.147029371,-3.11917595,0.348140261,-0.798675475,-0.089659301,0.284191834,-0.134957911,-0.499164251,-3.93219961,-0.018141662,-3.853748872,-0.719364356,-2.791839047,0.719364356,-2.791839047,0.5,-3.93
5,1.391300349,-6.431857875,-1.411341179,-2.041374574,-7.118137188,-3.335469046,1.391300349,-6.431857875,-2.832739502,-0.539355422,0.960356441,-1.342944802,-2.415706066,1.602957642,-0.728108998,0.028115412,0.45381803,0.184246817,-0.618199211,-3.872713751,-0.162229816,-3.742931382,-0.780587537,-2.796510696,0.663792571,-2.737720164,,
6,-1.391300349,-6.431857875,1.411341179,-2.041374574,-7.709053382,-1.766542116,-0.260967846,-4.646282884,-3.11917595,0.348140261,0.887003396,-0.933733429,-2.205389161,1.903245148,-0.500172326,0.221335569,0.500172326,0.221335569,-0.554411896,-3.564784642,-0.302912111,-3.581813935,-0.915982662,-2.801576192,0.662812824,-2.725944218,,
7,-4.143148587,-6.014103475,1.447296965,-2.133874261,-8.122712705,0.333220567,2.309830773,6.737831799,-2.415706066,1.602957642,0.569272955,2.109703559,-1.760956869,2.197930065,-0.45381803,0.184246817,0.728108998,0.028115412,-0.171659469,-3.135926039,-0.311594668,-3.390547663,-0.975493817,-2.80158884,0.670604288,-2.63712025,,
8,-5.793994988,-4.826985685,1.451968613,-2.195097442,-7.831384708,3.143206443,3.101060475,6.859786408,-2.205389161,1.903245148,1.153474873,2.523759127,-1.153474873,2.523759127,NA,NA,NA,NA,-0.043343703,-3.103118352,-0.170461713,-3.154998236,-1.451968613,-2.195097442,0.742722598,-2.485723143,,
9,-7.118137188,-3.335469046,,,-7.473433333,4.996168636,7.473433333,4.996168636,-1.760956869,2.197930065,1.760956869,2.197930065,1.153474873,2.523759127,NA,NA,NA,NA,0.170461713,-3.154998236,0.043343703,-3.103118352,-1.447296965,-2.133874261,1.314147123,-2.098486248,,
10,-7.709053382,-1.766542116,,,-3.101060475,6.859786408,7.831384708,3.143206443,-1.153474873,2.523759127,2.205389161,1.903245148,1.760956869,2.197930065,NA,NA,NA,NA,0.311594668,-3.390547663,0.171659469,-3.135926039,-1.411341179,-2.041374574,1.411341179,-2.041374574,,
11,-8.122712705,0.333220567,,,-2.309830773,6.737831799,8.122712705,0.333220567,-0.569272955,2.109703559,2.415706066,1.602957642,2.205389161,1.903245148,NA,NA,NA,NA,NA,NA,NA,NA,-1.314147123,-2.098486248,1.447296965,-2.133874261,,
12,-7.831384708,3.143206443,,,NA,NA,NA,NA,NA,NA,NA,NA,2.415706066,1.602957642,NA,NA,NA,NA,NA,NA,NA,NA,-0.742722598,-2.485723143,1.451968613,-2.195097442,,
13,-7.473433333,4.996168636,,,NA,NA,NA,NA,NA,NA,NA,NA,3.11917595,0.348140261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
14,-3.101060475,6.859786408,,,NA,NA,NA,NA,NA,NA,NA,NA,2.832739502,-0.539355422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
15,3.101060475,6.859786408,,,NA,NA,NA,NA,NA,NA,NA,NA,2.416325843,-1.313088985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
16,7.473433333,4.996168636,,,NA,NA,NA,NA,NA,NA,NA,NA,1.273188729,-2.147029371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
17,7.831384708,3.143206443,,,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
18,8.122712705,0.333220567,,,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
